2010 Federal Election House of Representatives First Preferences By Party [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T10:27:02 Cycle:058ef51d-5307-41e6-8a7e-84359dbfd144 Created:2010-09-07T10:04:11 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
ALP,Australian Labor Party,1,150,150,4,4014602,38.47,229047,34.88,9744,41.74,149077,33.72,272015,36.25,4674485,37.98,-5.41
LP,Liberal,2,109,109,5,3161800,30.3,182804,27.84,5888,25.22,144708,32.73,249995,33.31,3745195,30.43,0.73
LNQ,Liberal National Party of Queensland,3,30,30,5,936773,8.98,57872,8.81,1899,8.14,37322,8.44,93974,12.52,1127840,9.16,0.64
GRN,The Greens,4,150,150,0,1193548,11.44,116074,17.68,3439,14.73,66907,15.13,64801,8.64,1444769,11.74,3.95
NP,The Nationals,5,16,16,0,406565,3.9,15731,2.4,379,1.62,13284,3,23126,3.08,459085,3.73,0.16
FFP,Family First,6,108,108,0,229374,2.2,20931,3.19,789,3.38,9359,2.12,16602,2.21,277055,2.25,0.26
CDP,CDP Christian Party,7,42,42,0,70450,0.68,5456,0.83,225,0.96,2563,0.58,3806,0.51,82500,0.67,-0.17
DEM,Democrats,8,25,25,0,17780,0.17,1691,0.26,41,0.18,1095,0.25,1497,0.2,22104,0.18,-0.54
CLP,Country Liberals,9,2,2,1,34073,0.33,545,0.08,69,0.3,1879,0.42,1558,0.21,38124,0.31,-0.01
ON,One Nation,10,21,21,0,22399,0.21,2062,0.31,77,0.33,987,0.22,1468,0.2,26993,0.22,-0.04
CEC,Citizens Electoral Council,11,12,12,0,6764,0.06,503,0.08,19,0.08,287,0.06,383,0.05,7956,0.06,-0.16
LDP,Liberty and Democracy Party,12,22,22,0,17833,0.17,2707,0.41,67,0.29,1760,0.4,1575,0.21,23942,0.19,0.05
SAL,Socialist Alliance,13,12,12,0,7779,0.07,747,0.11,30,0.13,354,0.08,342,0.05,9252,0.08,0.01
DLP,DLP - Democratic Labor Party,14,7,7,0,4031,0.04,566,0.09,16,0.07,269,0.06,290,0.04,5172,0.04,-0.01
SEP,Socialist Equality Party,15,10,10,0,9096,0.09,1090,0.17,42,0.18,377,0.09,288,0.04,10893,0.09,0.06
AFN,Australia First Party (NSW) Incorporated,16,5,5,0,3117,0.03,296,0.05,9,0.04,93,0.02,155,0.02,3670,0.03,0.03
ASXP,Australian Sex Party,17,6,6,0,8653,0.08,1264,0.19,55,0.24,548,0.12,596,0.08,11116,0.09,0.09
BAP,Building Australia Party,18,3,3,0,1248,0.01,137,0.02,3,0.01,28,0.01,56,0.01,1472,0.01,0.01
CA,Carers Alliance,19,3,3,0,1177,0.01,94,0.01,2,0.01,52,0.01,122,0.02,1447,0.01,0.01
CAL,Communist Alliance,20,1,1,0,525,0.01,63,0.01,0,0,24,0.01,22,0,634,0.01,0.01
NCP,Non-Custodial Parents Party,21,2,2,0,2435,0.02,197,0.03,1,0,79,0.02,92,0.01,2804,0.02,0.01
SPA,Secular Party of Australia,22,19,19,0,10300,0.1,961,0.15,25,0.11,617,0.14,653,0.09,12556,0.1,0.1
TCS,The Climate Sceptics,23,7,7,0,3477,0.03,393,0.06,13,0.06,156,0.04,276,0.04,4315,0.04,0.04
IND,Independent,24,53,82,1,268779,2.58,15305,2.33,507,2.17,10194,2.31,16605,2.21,311390,2.53,0.31
NAFD,Non Affiliated,25,5,5,0,2055,0.02,170,0.03,4,0.02,133,0.03,148,0.02,2510,0.02,0.01
