2010 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T12:32:08 Cycle:68fe14c4-8854-4daa-a230-b5f32eed4b61 Created:2010-09-07T12:19:52 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,ALP,Australian Labor Party,1,48,48,0,1296177,37.65,68656,35.20,3746,44.60,45600,33.16,66923,35.05,1481102,37.26,-6.88
NSW,LP,Liberal,2,41,41,3,1256999,36.51,66809,34.26,2727,32.46,51928,37.76,79555,41.67,1458018,36.68,+4.05
NSW,NP,The Nationals,3,10,10,0,279782,8.13,10637,5.45,316,3.76,8658,6.30,16673,8.73,316066,7.95,+0.04
NSW,GRN,The Greens,4,48,48,0,339387,9.86,30822,15.80,991,11.80,19922,14.49,14028,7.35,405150,10.19,+2.30
NSW,CDP,CDP Christian Party,5,26,26,0,46481,1.35,3272,1.68,154,1.83,1728,1.26,2572,1.35,54207,1.36,-0.56
NSW,FFP,Family First,6,16,16,0,14106,0.41,1493,0.77,64,0.76,809,0.59,835,0.44,17307,0.44,-0.43
NSW,DEM,Democrats,7,12,12,0,9265,0.27,783,0.40,25,0.30,597,0.43,579,0.30,11249,0.28,+0.01
NSW,CEC,Citizens Electoral Council,8,2,2,0,975,0.03,77,0.04,5,0.06,71,0.05,45,0.02,1173,0.03,-0.19
NSW,ON,One Nation,9,14,14,0,15907,0.46,1454,0.75,56,0.67,731,0.53,943,0.49,19091,0.48,+0.27
NSW,LDP,Liberty and Democracy Party,10,9,9,0,6710,0.19,979,0.50,25,0.30,743,0.54,434,0.23,8891,0.22,+0.10
NSW,SAL,Socialist Alliance,11,4,4,0,2979,0.09,256,0.13,6,0.07,118,0.09,113,0.06,3472,0.09,+0.03
NSW,SEP,Socialist Equality Party,12,7,7,0,7457,0.22,865,0.44,41,0.49,326,0.24,207,0.11,8896,0.22,+0.14
NSW,NCP,Non-Custodial Parents Party,13,2,2,0,2435,0.07,197,0.10,1,0.01,79,0.06,92,0.05,2804,0.07,+0.05
NSW,AFN,Australia First Party (NSW) Incorporated,14,4,4,0,2884,0.08,272,0.14,8,0.10,85,0.06,126,0.07,3375,0.08,+0.08
NSW,ASXP,Australian Sex Party,15,2,2,0,2538,0.07,321,0.16,0,0.00,163,0.12,108,0.06,3130,0.08,+0.08
NSW,BAP,Building Australia Party,16,3,3,0,1248,0.04,137,0.07,3,0.04,47,0.03,56,0.03,1491,0.04,+0.04
NSW,CA,Carers Alliance,17,3,3,0,1178,0.03,94,0.05,2,0.02,52,0.04,122,0.06,1448,0.04,+0.04
NSW,CAL,Communist Alliance,18,1,1,0,525,0.02,63,0.03,0,0.00,24,0.02,22,0.01,634,0.02,+0.02
NSW,SPA,Secular Party of Australia,19,6,6,0,2938,0.09,213,0.11,3,0.04,187,0.14,141,0.07,3482,0.09,+0.09
NSW,TCS,The Climate Sceptics,20,1,1,0,222,0.01,19,0.01,0,0.00,19,0.01,20,0.01,280,0.01,+0.01
NSW,IND,Independent,21,23,37,1,151550,4.40,7517,3.85,222,2.64,5565,4.05,7272,3.81,172126,4.33,+1.02
NSW,NAFD,Non Affiliated,22,3,3,0,1152,0.03,92,0.05,5,0.06,81,0.06,71,0.04,1401,0.04,+0.02
VIC,ALP,Australian Labor Party,1,37,37,2,1144861,43.49,61903,39.33,1811,45.07,46894,37.41,91626,40.43,1347095,42.82,-1.87
VIC,LP,Liberal,2,35,35,3,948584,36.03,50121,31.85,1250,31.11,48508,38.70,99083,43.72,1147546,36.48,-1.61
VIC,GRN,The Greens,3,37,37,0,322866,12.26,32426,20.60,612,15.23,20159,16.08,21220,9.36,397283,12.63,+4.46
VIC,NP,The Nationals,4,2,2,0,90003,3.42,2157,1.37,62,1.54,3410,2.72,4697,2.07,100329,3.19,+0.17
VIC,FFP,Family First,5,37,37,0,81204,3.08,6899,4.38,211,5.25,3711,2.96,6316,2.79,98341,3.13,+0.11
