2010 Federal Election House of Representatives Informal Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-06T17:48:56 Cycle:45c1265d-36cf-4b0d-b7cd-05fe71e4b095 Created:2010-09-06T17:35:28 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent,InformalSwing
107,Blaxland,NSW,73348,11881,85229,13.94,5.05
119,Fowler,NSW,73432,10963,84395,12.99,4.51
251,Watson,NSW,75014,11080,86094,12.87,3.78
111,Chifley,NSW,80372,10102,90474,11.17,3.26
315,McMahon,NSW,77043,9452,86495,10.93,3.33
153,Werriwa,NSW,74603,8587,83190,10.32,3.74
122,Greenway,NSW,78079,8915,86994,10.25,4.07
104,Barton,NSW,77753,8488,86241,9.84,3.27
144,Reid,NSW,79634,7676,87310,8.79,3.21
140,Parramatta,NSW,76241,7230,83471,8.66,2.04
103,Banks,NSW,83870,7664,91534,8.37,2.61
127,Kingsford Smith,NSW,79184,7063,86247,8.19,2.88
128,Lindsay,NSW,83278,7401,90679,8.16,2.64
131,Macarthur,NSW,76247,6674,82921,8.05,2.48
110,Charlton,NSW,82315,6725,89040,7.55,2.88
306,Lingiari,NT,42394,3458,45852,7.54,2.69
176,Rankin,QLD,79931,6473,86404,7.49,3.06
302,Longman,QLD,75466,5911,81377,7.26,3.74
189,Port Adelaide,SA,90384,6986,97370,7.17,2.21
162,Forde,QLD,70261,5394,75655,7.13,2.42
121,Grayndler,NSW,81973,6190,88163,7.02,1.04
150,Throsby,NSW,82020,6147,88167,6.97,2.1
309,Gorton,VIC,94700,6887,101587,6.78,2.34
174,Oxley,QLD,71532,5122,76654,6.68,2.62
203,Calwell,VIC,87570,6095,93665,6.51,1.66
124,Hughes,NSW,85974,5927,91901,6.45,2.01
105,Bennelong,NSW,85122,5834,90956,6.41,0.19
146,Robertson,NSW,85340,5795,91135,6.36,2.92
118,Farrer,NSW,82901,5590,88491,6.32,2.49
148,Shortland,NSW,83428,5620,89048,6.31,2.15
165,Herbert,QLD,79017,5281,84298,6.26,2.04
117,Eden-Monaro,NSW,85353,5690,91043,6.25,2.52
222,Lalor,VIC,101973,6787,108760,6.24,2.75
191,Wakefield,SA,88013,5837,93850,6.22,1.56
126,Hunter,NSW,81314,5383,86697,6.21,1.94
172,Moncrieff,QLD,75715,4974,80689,6.16,2.35
157,Capricornia,QLD,80386,5257,85643,6.14,2.82
187,Makin,SA,85220,5531,90751,6.09,2.02
115,Dobell,NSW,82600,5316,87916,6.05,1.73
159,Fadden,QLD,73593,4733,78326,6.04,1.73
234,Wills,VIC,83986,5379,89365,6.02,1.69
232,Scullin,VIC,77851,4933,82784,5.96,1.9
168,Leichhardt,QLD,79825,5004,84829,5.9,0.88
171,McPherson,QLD,78048,4890,82938,5.9,2.73
304,Blair,QLD,73400,4590,77990,5.89,2.04
231,Murray,VIC,77692,4813,82505,5.83,0.59
158,Dawson,QLD,82952,5067,88019,5.76,1.94
250,Riverina,NSW,87189,5287,92476,5.72,1.83
216,Holt,VIC,95545,5764,101309,5.69,2.13
136,Newcastle,NSW,81964,4948,86912,5.69,1.26
114,Cunningham,NSW,89014,5358,94372,5.68,1.77
112,Cook,NSW,87483,5252,92735,5.66,1.85
225,Maribyrnong,VIC,75491,4512,80003,5.64,1.66
249,Paterson,NSW,82387,4923,87310,5.64,2.04
244,Pearce,WA,74623,4457,79080,5.64,1.65
305,Hasluck,WA,82499,4924,87423,5.63,1.3
316,Wright,QLD,75403,4495,79898,5.63,1.85
134,Mitchell,NSW,83517,4938,88455,5.58,1.51
145,Richmond,NSW,79407,4692,84099,5.58,1.3
149,Sydney,NSW,76126,4449,80575,5.52,1.34
180,Barker,SA,93004,5392,98396,5.48,1.63
133,Macquarie,NSW,87522,5066,92588,5.47,1.82
190,Sturt,SA,84294,4866,89160,5.46,2
240,Fremantle,WA,82358,4701,87059,5.4,1.15
155,Bowman,QLD,81945,4672,86617,5.39,2.01
167,Kennedy,QLD,81721,4648,86369,5.38,1.44
183,Grey,SA,88488,4997,93485,5.35,1.1
243,O'Connor,WA,81600,4613,86213,5.35,1.09
311,Flynn,QLD,79630,4480,84110,5.33,1.38
166,Hinkler,QLD,80781,4532,85313,5.31,1.41
233,Wannon,VIC,83248,4668,87916,5.31,2.72
175,Petrie,QLD,76357,4251,80608,5.27,2.05
178,Wide Bay,QLD,81516,4510,86026,5.24,1.24
235,Brand,WA,78024,4297,82321,5.22,1.35
245,Perth,WA,79591,4356,83947,5.19,0.6
185,Hindmarsh,SA,89193,4870,94063,5.18,1.34
