2010 Federal Election House of Representatives seats decided on first preferences [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T13:04:08 Cycle:1bd37f6f-8810-4ba2-801e-4c4a12c73ccb Created:2010-09-07T12:49:53 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,PartyAb,PartyNm
106,Berowra,NSW,LP,Liberal
208,Corio,VIC,ALP,Australian Labor Party
166,Hinkler,QLD,LNQ,Liberal National Party of Queensland
221,Kooyong,VIC,LP,Liberal
132,Mackellar,NSW,LP,Liberal
187,Makin,SA,ALP,Australian Labor Party
170,Maranoa,QLD,LNQ,Liberal National Party of Queensland
171,McPherson,QLD,LNQ,Liberal National Party of Queensland
134,Mitchell,NSW,LP,Liberal
172,Moncrieff,QLD,LNQ,Liberal National Party of Queensland
231,Murray,VIC,LP,Liberal
135,New England,NSW,IND,Independent
189,Port Adelaide,SA,ALP,Australian Labor Party
232,Scullin,VIC,ALP,Australian Labor Party
248,Tangney,WA,LP,Liberal
