2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-24T10:05:18 Cycle:ef7ca83b-66f2-4040-9384-fa11079c04b5 Created:2010-08-24T09:57:23 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,16,1.29
NT,306,Lingiari,8701,Alice Springs,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),388,-12.97
NT,306,Lingiari,8701,Alice Springs,21508,SHAW,Barbara,3,N,N,GRN,The Greens,274,9.82
NT,306,Lingiari,8701,Alice Springs,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,80,6.46
NT,306,Lingiari,8701,Alice Springs,21517,FINTER,Deirdre,5,N,N,IND,Independent,62,5
NT,306,Lingiari,8701,Alice Springs,21513,SNOWDON,Warren Edward,6,N,Y,ALP,Australian Labor Party (Northern Territory) Branch,419,-5.34
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,74,3.17
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),37,0.83
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,21,12.49
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,6,6
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,2,2
NT,306,Lingiari,46405,Alice Springs Airport PPVC,21513,SNOWDON,Warren Edward,6,N,Y,ALP,Australian Labor Party (Northern Territory) Branch,34,-17.06
NT,306,Lingiari,46405,Alice Springs Airport PPVC,999,Informal,Informal,999,N,N,,Informal,7,2.46
NT,306,Lingiari,34172,Alice Springs PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,77,2.63
NT,306,Lingiari,34172,Alice Springs PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),1055,-0.5
NT,306,Lingiari,34172,Alice Springs PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,464,8.41
NT,306,Lingiari,34172,Alice Springs PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,163,5.57
NT,306,Lingiari,34172,Alice Springs PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,165,5.64
NT,306,Lingiari,34172,Alice Springs PPVC,21513,SNOWDON,Warren Edward,6,N,Y,ALP,Australian Labor Party (Northern Territory) Branch,1004,-16.35
NT,306,Lingiari,34172,Alice Springs PPVC,999,Informal,Informal,999,N,N,,Informal,169,1.75
NT,306,Lingiari,8702,Alyangula,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,3,1.05
NT,306,Lingiari,8702,Alyangula,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),92,5.22
NT,306,Lingiari,8702,Alyangula,21508,SHAW,Barbara,3,N,N,GRN,The Greens,31,2.94
NT,306,Lingiari,8702,Alyangula,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,13,4.56
NT,306,Lingiari,8702,Alyangula,21517,FINTER,Deirdre,5,N,N,IND,Independent,11,3.86
NT,306,Lingiari,8702,Alyangula,21513,SNOWDON,Warren Edward,6,N,Y,ALP,Australian Labor Party (Northern Territory) Branch,135,-13.81
NT,306,Lingiari,8702,Alyangula,999,Informal,Informal,999,N,N,,Informal,23,2.44
NT,306,Lingiari,34266,Alyangula PPVC,21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),0,0
NT,306,Lingiari,34266,Alyangula PPVC,21508,SHAW,Barbara,3,N,N,GRN,The Greens,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21926,LECHLEITNER,Kenny,4,N,N,IND,Independent,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21517,FINTER,Deirdre,5,N,N,IND,Independent,0,0
NT,306,Lingiari,34266,Alyangula PPVC,21513,SNOWDON,Warren Edward,6,N,Y,ALP,Australian Labor Party (Northern Territory) Branch,0,0
NT,306,Lingiari,34266,Alyangula PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21510,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21511,ABBOTT,Leo,2,N,N,CLP,Country Liberals (NT),0,0
NT,306,Lingiari,34243,Assistant Divisional Office (PREPOLL),21508,SHAW,Barbara,3,N,N,GRN,The Greens,0,0
