2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-25T06:44:06 Cycle:3cc2cbf8-c873-4707-900e-3ed984b180a0 Created:2010-08-25T06:32:21 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,20863,JONES,Giulia,1,N,N,LP,Liberal,790,-2.73
ACT,101,Canberra,8829,Barton,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1399,2.73
ACT,101,Canberra,11877,Bonython,20863,JONES,Giulia,1,N,N,LP,Liberal,828,1.78
ACT,101,Canberra,11877,Bonython,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1219,-1.78
ACT,101,Canberra,11452,Calwell,20863,JONES,Giulia,1,N,N,LP,Liberal,1024,-0.95
ACT,101,Canberra,11452,Calwell,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1566,0.95
ACT,101,Canberra,8794,Canberra Hospital,20863,JONES,Giulia,1,N,N,LP,Liberal,326,2.89
ACT,101,Canberra,8794,Canberra Hospital,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,513,-2.89
ACT,101,Canberra,8761,Chapman,20863,JONES,Giulia,1,N,N,LP,Liberal,1158,1.9
ACT,101,Canberra,8761,Chapman,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1688,-1.9
ACT,101,Canberra,8763,Chisholm,20863,JONES,Giulia,1,N,N,LP,Liberal,795,6.65
ACT,101,Canberra,8763,Chisholm,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1021,-6.65
ACT,101,Canberra,58708,City CANBERRA PPVC,20863,JONES,Giulia,1,N,N,LP,Liberal,715,-26.32
ACT,101,Canberra,58708,City CANBERRA PPVC,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1245,26.32
ACT,101,Canberra,31298,Conder,20863,JONES,Giulia,1,N,N,LP,Liberal,1463,1.03
ACT,101,Canberra,31298,Conder,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,2021,-1.03
ACT,101,Canberra,8764,Curtin,20863,JONES,Giulia,1,N,N,LP,Liberal,1073,0.23
ACT,101,Canberra,8764,Curtin,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1867,-0.23
ACT,101,Canberra,8766,Deakin,20863,JONES,Giulia,1,N,N,LP,Liberal,905,2.99
ACT,101,Canberra,8766,Deakin,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,789,-2.99
ACT,101,Canberra,30092,Divisional Office (PREPOLL),20863,JONES,Giulia,1,N,N,LP,Liberal,675,-21.33
ACT,101,Canberra,30092,Divisional Office (PREPOLL),21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,954,21.33
ACT,101,Canberra,8767,Duffy,20863,JONES,Giulia,1,N,N,LP,Liberal,710,1.72
