2010 Federal Election House of Representatives Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-03T12:08:56 Cycle:209737c0-a25c-491a-a057-bcab813de9cf Created:2010-09-03T11:48:44 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,98526,73422,4835,0,1666,3543,83466,84.71
197,Aston,VIC,93448,74337,4169,133,3378,6280,88297,94.49
198,Ballarat,VIC,97802,79382,2972,0,2771,5930,91055,93.1
103,Banks,NSW,98762,78158,5030,316,3047,4154,90705,91.84
180,Barker,SA,104888,85255,3998,0,0,5348,94601,90.19
104,Barton,NSW,95243,74235,1355,0,3207,4140,82937,87.08
192,Bass,TAS,71689,58992,2384,81,1762,5098,68317,95.3
199,Batman,VIC,89160,67296,3635,0,972,4983,76886,86.23
200,Bendigo,VIC,100701,81792,3529,0,2550,6854,94725,94.07
105,Bennelong,NSW,98900,77763,2969,0,2986,5550,89268,90.26
106,Berowra,NSW,95115,76460,4973,0,2993,3833,88259,92.79
304,Blair,QLD,83071,66475,3832,0,1314,5624,77245,92.99
107,Blaxland,NSW,95354,72542,4196,0,0,3502,80240,84.15
310,Bonner,QLD,92684,69766,5488,0,3222,6353,84829,91.52
182,Boothby,SA,97898,73286,6056,422,2506,6733,89003,90.91
155,Bowman,QLD,91892,74281,3306,135,2086,6208,86016,93.61
193,Braddon,TAS,71574,59976,2158,84,1991,4159,68368,95.52
108,Bradfield,NSW,97251,75597,4473,0,4831,4719,89620,92.15
235,Brand,WA,88203,70714,5158,218,2540,3562,82192,93.19
156,Brisbane,QLD,92222,65510,6352,222,5019,4448,81551,88.43
201,Bruce,VIC,88171,67006,4212,0,0,6191,77409,87.79
109,Calare,NSW,98504,84853,3445,196,0,2327,90821,92.2
203,Calwell,VIC,101314,81186,1842,0,702,4487,88217,87.07
101,Canberra,ACT,124215,105296,0,0,4085,1000,110381,88.86
236,Canning,WA,90107,68615,7149,207,2980,4197,83148,92.28
157,Capricornia,QLD,91962,72127,2998,0,2532,4381,82038,89.21
204,Casey,VIC,92357,73407,4439,0,2341,6527,86714,93.89
110,Charlton,NSW,94480,76157,4068,0,2387,3989,86601,91.66
111,Chifley,NSW,97605,79496,5396,302,1456,3272,89922,92.13
205,Chisholm,VIC,86275,64059,5117,0,1587,6738,77501,89.83
112,Cook,NSW,100748,83433,3685,0,2468,3149,92735,92.05
207,Corangamite,VIC,101569,80880,4792,0,3411,6833,95916,94.43
208,Corio,VIC,91974,73413,3344,237,3074,5879,85947,93.45
237,Cowan,WA,89546,70099,5734,290,3186,4008,83317,93.04
113,Cowper,NSW,94645,78015,3272,0,2924,4093,88304,93.3
114,Cunningham,NSW,100698,82344,4002,145,1454,4788,92733,92.09
238,Curtin,WA,90400,68416,5402,235,1121,4204,79378,87.81
158,Dawson,QLD,94553,75783,4772,0,1919,5178,87652,92.7
209,Deakin,VIC,87744,68067,4685,0,2216,6789,81757,93.18
194,Denison,TAS,71349,57801,2952,205,1655,4316,66929,93.81
252,Dickson,QLD,90111,70787,4986,147,2493,5996,84409,93.67
115,Dobell,NSW,93661,76424,4554,0,1784,4653,87415,93.33
210,Dunkley,VIC,95324,74414,4014,228,2941,7185,88782,93.14
312,Durack,WA,85782,64809,4764,0,2356,2604,74533,86.89
117,Eden-Monaro,NSW,96465,78859,2463,175,4175,5294,90966,94.3
159,Fadden,QLD,85236,66501,3818,222,2203,4740,77484,90.91
160,Fairfax,QLD,89743,70829,4484,129,2527,4796,82765,92.22
118,Farrer,NSW,94061,76614,1547,0,4949,4891,88001,93.56
161,Fisher,QLD,83754,64988,4540,0,2489,4247,76264,91.06
211,Flinders,VIC,100875,75714,2124,0,4445,7526,89809,89.03
311,Flynn,QLD,91377,67644,5148,0,2949,7108,82849,90.67
162,Forde,QLD,82558,61183,4596,229,3105,5684,74797,90.6
239,Forrest,WA,89636,72736,5743,163,2684,2833,84159,93.89
119,Fowler,NSW,95561,77947,2978,0,0,2089,83014,86.87
195,Franklin,TAS,71090,57375,3576,128,1871,4697,67647,95.16
102,Fraser,ACT,123444,103628,1643,0,6349,0,111620,90.42
240,Fremantle,WA,93341,72354,5762,0,3555,4493,86164,92.31
212,Gellibrand,VIC,95611,70715,4123,0,2795,5591,83224,87.04
120,Gilmore,NSW,96317,79664,2328,147,1506,4487,88132,91.5
213,Gippsland,VIC,97543,82131,1019,0,1233,2502,86885,89.07
214,Goldstein,VIC,93945,69622,5028,158,3044,7240,85092,90.58
309,Gorton,VIC,113656,89737,4253,0,0,4233,98223,86.42
121,Grayndler,NSW,98112,75263,991,0,0,1999,78253,79.76
122,Greenway,NSW,93828,76385,4521,0,2249,3837,86992,92.71
183,Grey,SA,99817,79773,4390,174,2570,6377,93284,93.46
163,Griffith,QLD,92588,68785,5647,0,2787,5448,82667,89.28
164,Groom,QLD,93374,74787,4150,0,1433,6186,86556,92.7
305,Hasluck,WA,93892,70123,7186,298,4570,4879,87056,92.72
165,Herbert,QLD,91044,73875,3332,259,2058,4435,83959,92.22
215,Higgins,VIC,90398,64696,0,0,3613,6069,74378,82.28
185,Hindmarsh,SA,100245,76697,6656,270,2992,6223,92838,92.61
166,Hinkler,QLD,91397,72988,3506,145,1988,6294,84921,92.91
216,Holt,VIC,108893,83751,6103,452,2343,8085,100734,92.51
217,Hotham,VIC,89581,67443,1989,0,3130,4744,77306,86.3
124,Hughes,NSW,97995,78744,4825,242,4119,3577,91507,93.38
125,Hume,NSW,97698,79159,3485,202,0,2497,85343,87.35
126,Hunter,NSW,91516,77820,2619,0,1240,2762,84441,92.27
218,Indi,VIC,92956,74230,0,0,4209,5590,84029,90.4
219,Isaacs,VIC,102790,77487,0,0,3311,6233,87031,84.67
220,Jagajaga,VIC,95202,75214,4290,0,2971,5593,88068,92.51
167,Kennedy,QLD,94465,72197,2960,0,2347,5032,82536,87.37
127,Kingsford Smith,NSW,97747,76868,1887,0,2598,2920,84273,86.22
186,Kingston,SA,102296,81595,4864,255,2785,6870,96369,94.21
221,Kooyong,VIC,89659,66637,4429,0,4455,5397,80918,90.25
223,La Trobe,VIC,97960,74604,5310,0,4082,7579,91575,93.48
222,Lalor,VIC,117023,94172,4054,0,2778,7757,108761,92.94
168,Leichhardt,QLD,93140,74368,2932,0,2381,4353,84034,90.22
169,Lilley,QLD,97415,75836,5545,0,2358,6483,90222,92.62
128,Lindsay,NSW,95975,80165,3593,0,1880,3994,89632,93.39
306,Lingiari,NT,61126,42256,852,0,1755,947,45810,74.94
302,Longman,QLD,87062,68751,3593,0,2034,5729,80107,92.01
130,Lyne,NSW,92565,77306,4023,98,2290,3609,87326,94.34
196,Lyons,TAS,72865,57272,4748,95,2368,4448,68931,94.6
131,Macarthur,NSW,90059,75348,3818,322,0,3388,82876,92.02
132,Mackellar,NSW,98556,79329,4799,0,3909,3536,91573,92.91
133,Macquarie,NSW,97560,80991,3809,0,1693,3793,90286,92.54
187,Makin,SA,96263,76943,5739,184,1963,5922,90751,94.27
224,Mallee,VIC,89840,74482,2365,0,1500,3999,82346,91.66
170,Maranoa,QLD,97957,72672,5607,0,1898,10635,90812,92.71
225,Maribyrnong,VIC,88412,67403,3987,0,3084,5194,79668,90.11
188,Mayo,SA,101565,80812,5226,0,1500,6315,93853,92.41
226,McEwen,VIC,115783,88512,5656,0,0,5993,100161,86.51
315,McMahon,NSW,96058,78062,3934,0,0,2822,84818,88.3
227,McMillan,VIC,93323,75751,2879,0,2588,5580,86798,93.01
171,McPherson,QLD,90090,71051,3049,0,3578,4329,82007,91.03
228,Melbourne,VIC,102879,73094,2410,0,3823,4187,83514,81.18
230,Melbourne Ports,VIC,97765,65853,6620,0,0,7986,80459,82.3
229,Menzies,VIC,90966,69999,4480,0,1095,5995,81569,89.67
134,Mitchell,NSW,93588,77406,4239,208,1954,3444,87251,93.23
172,Moncrieff,QLD,89087,67761,3481,0,2927,5415,79584,89.33
242,Moore,WA,92295,71678,6328,0,4187,3300,85493,92.63
173,Moreton,QLD,92733,69434,5184,0,2792,5583,82993,89.5
231,Murray,VIC,90218,74551,0,0,837,3998,79386,87.99
135,New England,NSW,99677,83981,3364,0,2679,4049,94073,94.38
136,Newcastle,NSW,92896,74026,4517,0,2580,4691,85814,92.38
137,North Sydney,NSW,97567,75174,4480,0,3994,4026,87674,89.86
243,O'Connor,WA,92875,72243,6970,176,2745,3137,85271,91.81
174,Oxley,QLD,82782,65095,3731,0,2492,4007,75325,90.99
138,Page,NSW,94360,78017,2624,0,2807,4995,88443,93.73
139,Parkes,NSW,100169,81682,3084,0,1436,2730,88932,88.78
140,Parramatta,NSW,94014,70644,5732,0,2306,4789,83471,88.79
249,Paterson,NSW,92149,75655,2675,129,1718,4389,84566,91.77
244,Pearce,WA,89526,66912,6748,0,520,3397,77577,86.65
245,Perth,WA,91904,68671,6755,0,3514,3974,82914,90.22
175,Petrie,QLD,86683,67043,4470,0,1868,5971,79352,91.54
189,Port Adelaide,SA,104308,82713,6323,353,2297,5625,97311,93.29
176,Rankin,QLD,94602,72492,4959,325,1929,5822,85527,90.41
144,Reid,NSW,95873,74150,5011,314,3267,4216,86958,90.7
145,Richmond,NSW,92384,73455,1498,0,2997,4496,82446,89.24
250,Riverina,NSW,98594,82444,2734,0,1549,4235,90962,92.26
146,Robertson,NSW,96593,78221,4760,230,1995,5322,90528,93.72
177,Ryan,QLD,98224,75195,5877,0,3099,6270,90441,92.08
232,Scullin,VIC,90822,72070,1763,0,1193,4869,79895,87.97
