2010 Federal Election Senate Informal Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-06T15:11:30 Cycle:591549cf-1447-41fd-86b3-d0bdbfa01f02 Created:2010-09-06T14:49:52 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent
251,Watson,NSW,75373,8124,83497,9.73
119,Fowler,NSW,72317,7736,80053,9.66
107,Blaxland,NSW,71953,7091,79044,8.97
315,McMahon,NSW,74310,6812,81122,8.4
153,Werriwa,NSW,68049,5628,73677,7.64
309,Gorton,VIC,92684,7381,100065,7.38
203,Calwell,VIC,74882,5687,80569,7.06
225,Maribyrnong,VIC,74707,5482,80189,6.84
201,Bruce,VIC,60492,4316,64808,6.66
104,Barton,NSW,77510,5453,82963,6.57
111,Chifley,NSW,82452,5625,88077,6.39
212,Gellibrand,VIC,72987,4941,77928,6.34
232,Scullin,VIC,75696,4951,80647,6.14
140,Parramatta,NSW,78656,5001,83657,5.98
219,Isaacs,VIC,77258,4699,81957,5.73
127,Kingsford Smith,NSW,65161,3947,69108,5.71
222,Lalor,VIC,95115,5575,100690,5.54
199,Batman,VIC,74318,4330,78648,5.51
234,Wills,VIC,83784,4873,88657,5.5
174,Oxley,QLD,71143,4104,75247,5.45
103,Banks,NSW,87055,4947,92002,5.38
128,Lindsay,NSW,83142,4680,87822,5.33
245,Perth,WA,64568,3588,68156,5.26
122,Greenway,NSW,81815,4529,86344,5.25
131,Macarthur,NSW,72034,3920,75954,5.16
144,Reid,NSW,83151,4521,87672,5.16
176,Rankin,QLD,81510,4412,85922,5.13
231,Murray,VIC,74539,3991,78530,5.08
150,Throsby,NSW,83950,4435,88385,5.02
158,Dawson,QLD,63756,3324,67080,4.96
304,Blair,QLD,74727,3888,78615,4.95
217,Hotham,VIC,71511,3671,75182,4.88
216,Holt,VIC,96715,4836,101551,4.76
121,Grayndler,NSW,71607,3573,75180,4.75
148,Shortland,NSW,80125,3874,83999,4.61
175,Petrie,QLD,58786,2821,61607,4.58
302,Longman,QLD,76787,3637,80424,4.52
250,Riverina,NSW,85680,4025,89705,4.49
110,Charlton,NSW,84142,3938,88080,4.47
165,Herbert,QLD,65665,3064,68729,4.46
139,Parkes,NSW,87689,4063,91752,4.43
189,Port Adelaide,SA,93632,4316,97948,4.41
162,Forde,QLD,72090,3304,75394,4.38
167,Kennedy,QLD,80943,3608,84551,4.27
226,McEwen,VIC,93320,4158,97478,4.27
311,Flynn,QLD,67132,2978,70110,4.25
191,Wakefield,SA,89615,3974,93589,4.25
316,Wright,QLD,74145,3269,77414,4.22
224,Mallee,VIC,80228,3527,83755,4.21
118,Farrer,NSW,84245,3697,87942,4.2
183,Grey,SA,73529,3101,76630,4.05
124,Hughes,NSW,88145,3723,91868,4.05
306,Lingiari,NT,44090,1836,45926,4
146,Robertson,NSW,76776,3189,79965,3.99
115,Dobell,NSW,84479,3492,87971,3.97
172,Moncrieff,QLD,78132,3230,81362,3.97
208,Corio,VIC,83015,3425,86440,3.96
126,Hunter,NSW,81663,3364,85027,3.96
233,Wannon,VIC,85323,3519,88842,3.96
246,Stirling,WA,77852,3202,81054,3.95
229,Menzies,VIC,81013,3289,84302,3.9
305,Hasluck,WA,84519,3412,87931,3.88
136,Newcastle,NSW,82201,3308,85509,3.87
197,Aston,VIC,81166,3230,84396,3.83
157,Capricornia,QLD,80089,3184,83273,3.82
180,Barker,SA,82903,3283,86186,3.81
196,Lyons,TAS,66206,2589,68795,3.76
227,McMillan,VIC,72972,2851,75823,3.76
171,McPherson,QLD,80219,3131,83350,3.76
200,Bendigo,VIC,84183,3278,87461,3.75
138,Page,NSW,84858,3291,88149,3.73
159,Fadden,QLD,74968,2882,77850,3.7
