2010 Federal Election Senate Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:14:14 Cycle:86a481a5-f7f2-4108-ab93-af03f1922bff Created:2010-09-07T11:04:26 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,98526,73458,3413,0,3452,1234,81557,82.78
197,Aston,VIC,93448,74314,4470,327,3376,2350,84837,90.79
198,Ballarat,VIC,97802,79565,3384,0,3088,3488,89525,91.54
103,Banks,NSW,98762,78133,5336,659,3160,4839,92127,93.28
180,Barker,SA,104888,85907,0,0,0,285,86192,82.18
104,Barton,NSW,95243,74177,1340,811,2617,4089,83034,87.18
192,Bass,TAS,71689,58788,2410,150,1819,5153,68320,95.3
199,Batman,VIC,89160,67333,3516,0,1932,5824,78605,88.16
200,Bendigo,VIC,100701,81727,0,0,2206,864,84797,84.21
105,Bennelong,NSW,98900,78215,3662,0,3454,5790,91121,92.13
106,Berowra,NSW,95115,76650,4914,0,3492,3812,88868,93.43
304,Blair,QLD,83071,66740,4261,457,1445,5840,78743,94.79
107,Blaxland,NSW,95354,72442,5192,716,3215,3446,85011,89.15
310,Bonner,QLD,92684,69769,3188,0,0,5679,78636,84.84
182,Boothby,SA,97898,71680,428,6,124,472,72710,74.27
155,Bowman,QLD,91892,74292,3680,312,2210,6345,86839,94.5
193,Braddon,TAS,71574,59997,2174,131,2038,4169,68509,95.72
108,Bradfield,NSW,97251,75672,4279,0,4739,4539,89229,91.75
235,Brand,WA,88203,70711,5425,519,2654,3559,82868,93.95
156,Brisbane,QLD,92222,65346,308,11,178,170,66013,71.58
201,Bruce,VIC,88171,64623,0,0,0,0,64623,73.29
109,Calare,NSW,98504,84919,3639,395,2413,2737,94103,95.53
203,Calwell,VIC,101314,76326,0,0,0,4243,80569,79.52
101,Canberra,ACT,124215,103046,1294,0,5057,3084,112481,90.55
236,Canning,WA,90107,68638,6604,490,3100,4917,83749,92.94
157,Capricornia,QLD,91962,72099,4744,327,2665,6061,85896,93.4
204,Casey,VIC,92357,73429,4716,400,2604,6636,87785,95.05
110,Charlton,NSW,94480,76219,4608,425,3697,3944,88893,94.09
111,Chifley,NSW,97605,79384,5970,621,1733,3216,90924,93.16
205,Chisholm,VIC,86275,64081,5466,326,3352,7151,80376,93.16
112,Cook,NSW,100748,77219,974,0,0,3085,81278,80.67
207,Corangamite,VIC,101569,80435,4931,0,62,5356,90784,89.38
208,Corio,VIC,91974,73492,3501,349,3198,6127,86667,94.23
237,Cowan,WA,89546,70116,4673,233,2363,3967,81352,90.85
113,Cowper,NSW,94645,77980,3155,0,3031,3991,88157,93.14
114,Cunningham,NSW,100698,82340,4279,138,2753,4838,94348,93.69
238,Curtin,WA,90400,68289,5138,428,4769,4431,83055,91.88
158,Dawson,QLD,94553,75645,15,452,0,0,76112,80.5
209,Deakin,VIC,87744,67997,4895,136,2574,7184,82786,94.35
194,Denison,TAS,71349,57801,3010,327,1968,4372,67478,94.57
252,Dickson,QLD,90111,66022,3600,321,2635,4237,76815,85.24
115,Dobell,NSW,93661,76496,4473,517,1902,4719,88107,94.07
210,Dunkley,VIC,95324,74349,4399,465,3067,7100,89380,93.76
312,Durack,WA,85782,63516,4608,0,2314,2475,72913,85
117,Eden-Monaro,NSW,96465,77105,2438,269,4207,5319,89338,92.61
159,Fadden,QLD,85236,66541,4366,499,2533,4888,78827,92.48
160,Fairfax,QLD,89743,70896,4713,353,2799,5058,83819,93.4
118,Farrer,NSW,94061,76704,1578,216,5043,4937,88478,94.06
161,Fisher,QLD,83754,65070,4843,320,2957,4835,78025,93.16
211,Flinders,VIC,100875,75725,4212,378,4971,8104,93390,92.58
311,Flynn,QLD,91377,66309,102,0,37,4534,70982,77.68
162,Forde,QLD,82558,61219,5193,570,3422,6011,76415,92.56
239,Forrest,WA,89636,72749,5988,292,2754,2914,84697,94.49
119,Fowler,NSW,95561,78137,4320,0,0,2044,84501,88.43
195,Franklin,TAS,71090,57368,3702,229,1984,4773,68056,95.73
102,Fraser,ACT,123444,102768,1349,508,5298,2469,112392,91.05
240,Fremantle,WA,93341,72381,6052,421,3847,4830,87531,93.78
212,Gellibrand,VIC,95611,71525,3189,561,2769,2693,80737,84.44
120,Gilmore,NSW,96317,79220,3749,334,3035,4620,90958,94.44
213,Gippsland,VIC,97543,81533,2438,270,2625,3213,90079,92.35
214,Goldstein,VIC,93945,69670,5237,308,4987,7301,87503,93.14
309,Gorton,VIC,113656,89920,4101,0,3307,4140,101468,89.28
121,Grayndler,NSW,98112,75150,0,0,0,0,75150,76.6
122,Greenway,NSW,93828,76323,4583,450,2501,370,84227,89.77
183,Grey,SA,99817,79409,247,4,62,348,80070,80.22
163,Griffith,QLD,92588,67682,3715,0,87,4663,76147,82.24
164,Groom,QLD,93374,74750,4438,275,1763,6812,88038,94.29
305,Hasluck,WA,93892,70219,7580,557,4842,5026,88224,93.96
165,Herbert,QLD,91044,68823,87,10,63,181,69164,75.97
215,Higgins,VIC,90398,61040,5261,0,4937,5875,77113,85.3
185,Hindmarsh,SA,100245,76671,7210,481,2187,6775,93324,93.1
166,Hinkler,QLD,91397,73378,3716,337,2297,6350,86078,94.18
216,Holt,VIC,108893,83733,6590,828,2504,8255,101910,93.59
217,Hotham,VIC,89581,65023,3875,0,3133,3114,75145,83.88
124,Hughes,NSW,97995,78624,4783,457,4069,3847,91780,93.66
125,Hume,NSW,97698,79183,4844,384,3870,3540,91821,93.98
126,Hunter,NSW,91516,77825,2849,391,1746,3238,86049,94.03
218,Indi,VIC,92956,74299,2403,0,4086,6034,86822,93.4
219,Isaacs,VIC,102790,77166,0,0,0,4791,81957,79.73
220,Jagajaga,VIC,95202,75258,4214,0,2875,6324,88671,93.14
167,Kennedy,QLD,94465,72122,5386,598,2962,5132,86200,91.25
127,Kingsford Smith,NSW,97747,68833,0,0,0,0,68833,70.42
186,Kingston,SA,102296,81581,5339,401,2821,6879,97021,94.84
221,Kooyong,VIC,89659,61927,0,0,0,42,61969,69.12
223,La Trobe,VIC,97960,74456,2764,0,1531,6757,85508,87.29
222,Lalor,VIC,117023,94797,1218,0,0,5961,101976,87.14
168,Leichhardt,QLD,93140,74547,3126,504,2556,4372,85105,91.37
169,Lilley,QLD,97415,75872,4693,0,2043,2755,85363,87.63
128,Lindsay,NSW,95975,78575,3501,0,1856,3890,87822,91.51
306,Lingiari,NT,61126,42319,908,0,1764,938,45929,75.14
302,Longman,QLD,87062,69149,4249,487,2279,6002,82166,94.38
130,Lyne,NSW,92565,77498,4063,187,2767,4007,88522,95.63
196,Lyons,TAS,72865,57195,4824,237,2442,4532,69230,95.07
131,Macarthur,NSW,90059,72500,3228,0,0,0,75728,84.09
132,Mackellar,NSW,98556,78859,5057,303,4029,3856,92104,93.45
133,Macquarie,NSW,97560,79759,4156,246,2382,2652,89195,91.43
187,Makin,SA,96263,76939,5966,367,1985,5929,91186,94.73
